Trading period,\( \lambda = 0.0 \),\( \lambda = 0.25 \),\( \lambda = 0.5 \),\( \lambda = 0.75 \),\( \lambda = 1.0 \)
52,-9.967e-7,0.000108,0.0001847,0.0002434,0.0002861
53,-1.034e-6,0.000106,0.000182,0.0002422,0.0002835
54,-1.025e-6,0.0001021,0.0001732,0.0002299,0.0002695
55,-1.062e-6,9.196e-5,0.0001613,0.0002091,0.0002424
56,-1.056e-6,8.559e-5,0.000149,0.0001907,0.0002219
57,-1.076e-6,7.711e-5,0.0001358,0.0001753,0.0002083
58,-1.053e-6,8.287e-5,0.0001455,0.0001846,0.0002165
59,-1.064e-6,7.697e-5,0.0001356,0.000172,0.0001985
60,-1.086e-6,7.159e-5,0.0001247,0.0001585,0.0001795
61,-1.134e-6,6.836e-5,0.0001213,0.0001575,0.0001807
62,-1.152e-6,5.944e-5,0.0001057,0.0001374,0.0001619
63,-1.188e-6,4.731e-5,8.026e-5,0.0001002,0.0001159
64,-1.312e-6,4.104e-5,7.927e-5,0.000105,0.0001284
65,-1.196e-6,4.992e-5,8.726e-5,0.0001192,0.0001523
66,-1.169e-6,4.45e-5,7.451e-5,0.0001034,0.0001361
67,-1.177e-6,3.447e-5,5.626e-5,7.911e-5,0.0001059
68,-1.175e-6,3.194e-5,5.182e-5,7.651e-5,0.0001023
69,-1.103e-6,2.658e-5,3.453e-5,4.815e-5,6.48e-5
70,-1.108e-6,2.895e-5,4.187e-5,5.669e-5,7.325e-5
71,-1.212e-6,1.888e-5,3.102e-5,4.684e-5,6.548e-5
72,-1.14e-6,1.142e-5,1.626e-5,2.136e-5,3.565e-5
73,-1.1e-6,1.147e-5,1.635e-5,1.89e-5,3.472e-5
74,-9.832e-7,1.238e-5,1.14e-5,9.525e-6,2.44e-5
75,-9.853e-7,3.703e-6,-6.466e-6,-1.712e-5,-1.073e-5
76,-1.051e-6,-1.22e-5,-2.968e-5,-4.657e-5,-4.179e-5
77,-1.086e-6,-1.927e-5,-4.134e-5,-6.487e-5,-6.657e-5
78,-1.127e-6,-2.91e-5,-5.521e-5,-8.407e-5,-8.348e-5
79,-1.064e-6,-4.049e-5,-8.089e-5,-0.0001234,-0.0001353
80,-1.023e-6,-5.854e-5,-0.0001159,-0.0001709,-0.0001972
81,-1.07e-6,-7.034e-5,-0.0001362,-0.0001963,-0.00023
82,-1.122e-6,-9.122e-5,-0.0001717,-0.0002443,-0.0002909
83,-1.199e-6,-0.0001203,-0.0002186,-0.0003058,-0.0003599
84,-1.174e-6,-0.000129,-0.0002359,-0.0003281,-0.0003841
85,-1.172e-6,-0.000157,-0.0002858,-0.0003955,-0.0004658
86,-1.193e-6,-0.000185,-0.0003375,-0.0004635,-0.0005434
87,-1.098e-6,-0.0001946,-0.0003646,-0.0005042,-0.0005969
88,-1.163e-6,-0.0002227,-0.0004087,-0.000562,-0.0006598
89,-1.137e-6,-0.000235,-0.000437,-0.0006031,-0.0007176
90,-1.148e-6,-0.0002529,-0.0004676,-0.0006462,-0.0007735
91,-1.132e-6,-0.0002751,-0.000513,-0.0007056,-0.0008499
92,-1.084e-6,-0.0003029,-0.0005745,-0.0007869,-0.0009451
93,-1.08e-6,-0.0003288,-0.0006216,-0.0008549,-0.00103
94,-1.011e-6,-0.0003559,-0.0006731,-0.0009283,-0.001118
95,-1.132e-6,-0.0004036,-0.0007446,-0.001017,-0.001227
96,-1.226e-6,-0.0004692,-0.00086,-0.001165,-0.001426
97,-9.854e-7,-0.0005002,-0.000941,-0.001297,-0.001605
98,-8.649e-7,-0.0005525,-0.001049,-0.001447,-0.001775
99,-3.028e-7,-0.0007055,-0.001391,-0.00193,-0.002342
100,0.000108,-0.0009005,-0.001758,-0.002377,-0.002868
